chr	start	end	feature	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
chr1	17409	17431	hsa-miR-6859-5p	71.9762176723894	-0.499913001563207	0.141872274069485	-3.52368357272094	0.358620329061523	0.701618054675964
chr1	17369	17391	hsa-miR-6859-3p	88.491125525836	0.331411767965866	0.0848555975423045	3.90559700909114	0.510637820698321	0.241061487469308
chr1	30438	30458	hsa-miR-1302	177.935415707456	-1.33000899970519	0.0924223732793806	-14.3905523361183	0.355004144832492	0.107507049455041
chr1	187931	187953	hsa-miR-6859-5p	103.525419571229	-0.672092532712311	0.091857423873813	-7.31669259128781	0.387283215299249	0.000128389256647729
chr1	187891	187913	hsa-miR-6859-3p	106.464386758047	0.25511553524834	0.102892276647786	2.47944300155427	0.906304900767282	0.334634094226116
chr1	632668	632685	hsa-miR-12136	185.753249344164	0.7965288915908	0.176857244279308	4.50379567337855	0.287678050342947	0.00547472846366177
chr1	1167124	1167145	hsa-miR-200b-5p	123.04581029946	1.5210253040275	0.0636643735954804	23.8913102906187	0.742131023900583	0.224403558773027
chr1	1167160	1167181	hsa-miR-200b-3p	36.7469382696733	-0.418942627938494	0.0897618640223824	-4.66726746933452	0.843211773084477	0.958150243805466
chr1	1167878	1167899	hsa-miR-200a-5p	65.6573574053237	0.117195442821522	0.10393631462215	1.12756973582885	0.394575430313125	0.459586005618025
chr1	1167916	1167937	hsa-miR-200a-3p	77.7169014950021	0.881446607109568	0.0330867053407471	26.6405070565925	0.534135652706027	0.172761888666557
chr1	1169055	1169076	hsa-miR-429	161.204089871973	-1.26216381125818	0.0539485382398526	-23.395699910286	0.43004889274016	0.551784925273778
chr1	1296145	1296165	hsa-miR-6726-5p	117.990691352868	-0.158054553167913	0.110013097430455	-1.43668851127319	0.111572107998654	0.172448974041717
chr1	1296110	1296129	hsa-miR-6726-3p	120.038572529703	-0.0498544671046227	0.121353456386955	-0.410820330866011	0.643900387221947	0.00075731862053187
chr1	1312539	1312561	hsa-miR-6727-5p	105.534135797256	2.36926361895121	0.157004510469016	15.0904175419774	0.659913511713967	0.689738321690276
chr1	1312502	1312521	hsa-miR-6727-3p	72.2079432622963	-0.194205184517861	0.0767147021780746	-2.53152497505706	0.699149905703962	0.015096126862782
chr1	1339682	1339703	hsa-miR-6808-5p	189.345656840154	0.254210337157481	0.172695031061718	1.47201882760964	0.185432741651312	0.00010759212100922
chr1	1339650	1339670	hsa-miR-6808-3p	124.892523911462	0.775416471155016	0.0567721891340232	13.6583859629664	0.347287877462804	0.553116853982454
chr1	3128009	3128025	hsa-miR-4251	1.66914216851809	-0.794023660198275	0.0201858460248868	-39.335664168811	0.015411160653457	0.532174805082452
chr1	3560710	3560730	hsa-miR-551a	135.067795078184	0.398735832045319	0.01	39.8735832045319	0.235299905296415	3.455096938575e-06
